District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Watertown School District,1530011,92.3,87.9,90.0,88.7,87.2
West Hartford School District,1550011,91.9,95.1,93.5,92.8,92.2
West Haven School District,1560011,84.7,80.6,84.0,85.7,88.6
Westbrook School District,1540011,90.9,98.0,93.0,92.3,94.1
Weston School District,1570011,100.0,97.0,99.0,97.8,95.6
Westport School District,1580011,98.2,97.4,97.4,99.1,95.8
Wethersfield School District,1590011,95.3,93.8,95.9,91.2,94.9
Wilton School District,1610011,97.8,95.9,97.5,93.7,97.8
Windham School District,1630011,77.6,78.4,68.1,76.4,79.8
Windsor Locks School District,1650011,85.1,82.1,81.8,89.1,88.7
Windsor School District,1640011,87.9,84.2,87.7,85.8,85.2
Wolcott School District,1660011,96.2,91.8,96.6,93.1,90.2
