town,year,mean_rate
Norwich,2021_22,NA
Norwich,2022_23,NA
Norwich,2023_24,NA
Oakdale,2019_20,NA
Oakdale,2020_21,NA
Oakdale,2021_22,NA
Oakdale,2022_23,NA
Oakdale,2023_24,NA
Old Lyme,2019_20,NA
Old Lyme,2020_21,NA
Old Lyme,2021_22,NA
Old Lyme,2022_23,NA
Old Lyme,2023_24,NA
Old Saybrook,2019_20,NA
Old Saybrook,2020_21,NA
Old Saybrook,2021_22,NA
Old Saybrook,2022_23,NA
Old Saybrook,2023_24,NA
Oxford,2019_20,NA
Oxford,2020_21,NA
Oxford,2021_22,NA
Oxford,2022_23,NA
Oxford,2023_24,NA
Pawcatuck,2019_20,NA
Pawcatuck,2020_21,NA
Pawcatuck,2021_22,NA
Pawcatuck,2022_23,NA
Pawcatuck,2023_24,NA
Plainfield,2019_20,NA
Plainfield,2020_21,NA
Plainfield,2021_22,NA
Plainfield,2022_23,NA
Plainfield,2023_24,NA
Plainville,2019_20,NA
Plainville,2020_21,NA
Plainville,2021_22,NA
Plainville,2022_23,NA
Plainville,2023_24,NA
Portland,2019_20,NA
Portland,2020_21,NA
Portland,2021_22,NA
Portland,2022_23,NA
Portland,2023_24,NA
Prospect,2019_20,NA
Prospect,2020_21,NA
Prospect,2021_22,NA
Prospect,2022_23,NA
Prospect,2023_24,NA
Putnam,2019_20,NA
Putnam,2020_21,NA
Putnam,2021_22,NA
Putnam,2022_23,NA
Putnam,2023_24,NA
Ridgefield,2019_20,NA
Ridgefield,2020_21,NA
Ridgefield,2021_22,NA
Ridgefield,2022_23,NA
Ridgefield,2023_24,NA
Rocky Hill,2019_20,NA
Rocky Hill,2020_21,NA
Rocky Hill,2021_22,NA
Rocky Hill,2022_23,NA
Rocky Hill,2023_24,NA
Seymour,2019_20,NA
Seymour,2020_21,NA
Seymour,2021_22,NA
Seymour,2022_23,NA
Seymour,2023_24,NA
Shelton,2019_20,NA
Shelton,2020_21,NA
Shelton,2021_22,NA
Shelton,2022_23,NA
Shelton,2023_24,NA
Simsbury,2019_20,NA
Simsbury,2020_21,NA
Simsbury,2021_22,NA
Simsbury,2022_23,NA
Simsbury,2023_24,NA
